ZIP,Metro,CountyName,StateSizeRank,FinalZHVI,FinalZScore,ZHVI_Tier,YoY_2001,YoY_2002,YoY_2003,YoY_2004,YoY_2005,YoY_2006,YoY_2007,YoY_2008,YoY_2009,YoY_2010,YoY_2011,YoY_2012,YoY_2013,YoY_2014,YoY_2015,YoY_2016,YoY_2017,YoY_2018,YoY_2019,YoY_2020,YoY_2021,YoY_2022,YoY_2023,YoY_2024,AvgYoYGrowth,MedianYoYGrowth,YoYGrowthVolatility,NegativeGrowthYears,Pct_Renter_Occupied,Pct_Bachelors_Or_Higher,Unemployment_Rate,Pct_Below_Poverty,Pct_No_Vehicle,Pct_One_Person_HH,Pct_4plus_HH,Pct_Age_0_17,Pct_Age_18_34,Pct_Age_65plus,YoY_2025
31805,"Columbus, GA-AL",Chattahoochee County,432,111077.8216033491,-1.0923390154682027,very low,,,,,3.8190688424445356,2.5525508376289965,2.556876864888229,-5.559083289855751,-4.394335684574938,0.04527588426004215,-1.4547896872843802,-5.643740679437331,10.751656193199112,0.2889701530174144,0.3911185820796366,6.9243162711237645,-4.830200205516245,9.659019244405878,-2.5810404492657377,15.242006444723765,6.820573231211999,-4.831481672734993,0.3056832607297397,0.6817395409231272,1.537209184098343,0.34840092140468815,5.868616137415256,7,28.231644260599793,13.925925925925926,14.320388349514563,19.23469387755102,1.4477766287487073,23.784901758014477,23.784901758014477,30.867346938775512,0.25510204081632654,1.4795918367346939,8.687451483916593
30008,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,102,331344.09272120026,0.4100206352684809,mid,6.542406930618073,4.270220786479826,2.720185087418823,2.1660611608250413,2.9405948873390173,2.8911882189077813,-2.2814480616104964,-5.643966018293521,-13.666592152598787,-15.011540720313821,-17.309368052169873,5.752229654668212,27.37636484421619,14.483071662857919,8.383834597714493,9.016569892245608,9.470291379139594,11.30188818266901,7.525873934668451,11.562061950174696,25.143205335710125,13.496276691768355,2.678426905622303,0.5228541061570207,4.763778800175586,5.011225220574019,10.769727211824872,5,40.97457627118644,28.29896241443148,3.798185941043084,16.136772645470906,6.8474576271186445,25.39830508474576,25.39830508474576,25.099724703635037,9.652227653238945,1.4916568346536323,-1.0143902101708862
31025,"Warner Robins, GA",Houston County,520,304498.45729200315,0.22691588998664974,mid,-2.8484647548743096,10.378909381215804,-2.0906512942464617,8.305551904360126,6.490167722570238,7.356000651074591,11.214185755626906,-3.207621521987647,-3.6172537903938227,-1.7265108554608215,-7.158192273821538,-3.693729125361816,1.8461855114401837,2.0914923542418724,5.403065877970597,0.5984450684707556,3.712390999996856,5.948494640086402,1.5208409624980737,10.87621081254605,12.469423532502761,12.772719916344869,5.383824551791603,0.286848859742473,3.4296806202639067,2.901941677119364,5.804474072685296,7,1.8108651911468814,30.56379821958457,1.9914651493598863,4.4062733383121735,4.426559356136821,18.51106639839034,18.51106639839034,22.70351008215086,1.7923823749066468,1.4189693801344287,7.609546205184576
30087,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,91,354625.8454883324,0.5688173760416158,mid,5.470576601957093,1.7916591347700315,1.9280853102286162,2.504007730633271,3.9544415862127407,1.900656861436367,-1.7900343833611023,-16.141458506238948,-17.219323588216184,-6.598195032709873,-10.24881203662299,2.8186635092908676,19.927868349382713,11.067813982738453,7.367876635325926,7.781334249783056,8.597536812221378,10.261814363787229,5.162915191738519,10.978105034737833,22.714737475857984,15.628335473364027,0.42873896108939896,0.13787025012068435,3.6843839153136284,3.386552547751804,9.7235993739872,5,15.153369540273847,45.22346882471951,6.951381102843746,8.323319714812145,1.7899487493306816,25.013386368851833,25.013386368851833,19.795049241416024,7.846686185786532,2.2757519297311686,-0.3091761173522251
30078,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,83,370678.3614581356,0.6783060061593664,mid,5.397212426095325,3.763928963283135,2.135904838513938,2.2782615751758373,2.766797597166292,4.155100022163255,1.0442531890118514,-10.117695482935142,-9.081189550692327,-12.461908567322617,-12.832520996681584,-2.815970797014313,21.465277960295424,10.509701127332988,8.369965031077244,6.5618385532131684,8.084090834090352,8.396221091626483,6.481112784830115,9.834224209438837,25.012206432771347,13.607663667954396,0.9349941263326818,0.5073698296621479,3.916534952724535,3.959514492723195,9.312121384462474,5,17.614109454242676,42.02887981330222,4.55023923444976,8.929186555779735,2.270834910302021,17.273484217697373,17.273484217697373,23.269413513315953,9.909602592529422,1.912721424916547,1.0369890123602281
31211,"Macon-Bibb County, GA",Bibb County,235,158050.86380597195,-0.771952226699195,low,5.509744015634179,2.0859927032500347,3.0769808317136933,0.5519862573129481,-5.848901765482613,1.9653617408965625,0.29774500130638404,-5.562344958718937,-4.962620826451522,-5.969667210162738,-6.9759518478529365,0.3834211555267672,1.512156489298597,6.534599214891869,3.9629689260135,-2.6199351307858025,5.769088993144583,7.914216658906774,11.90211240211362,7.700090635582222,13.840459656737465,15.717855239024844,2.7675040970216434,-0.5435072310619706,2.458723126994132,2.0256772220732984,6.215545063868257,7,41.98388880113726,26.6837899543379,5.674444291039625,23.462562504058706,11.040909808876954,35.91849628810614,35.91849628810614,24.46959896507115,7.535575679172057,3.570504527813713,2.3584798404088994
30741,"Chattanooga, TN-GA",Walker County,132,187844.63347717663,-0.5687392827918123,low,5.118721589607696,4.303170670316746,2.7314471352583327,3.9616647681497215,-0.30200156079020607,4.125676737143338,2.9095653404692117,-3.595544957799004,-7.3915427217478245,-6.819599891107193,-7.175772229420734,8.193931711582639,10.251208625643802,2.6050905883052438,2.2074459825087134,3.0313850964807973,7.476303864103041,8.367351207592014,11.103553283496986,13.595501890643408,17.000426737972298,10.01726986713064,6.467853962033685,1.0195025176683135,4.133442092301736,4.04367075264653,6.284241158494717,5,29.868539234098147,19.299618057153374,5.248598675111014,16.61823716618237,5.389074875479709,33.804196946190906,33.804196946190906,18.58667396360651,7.083732384731153,2.089889177726091,4.696247739989766
31030,"Warner Robins, GA",Peach County,210,142068.48810069123,-0.8809624544597632,low,3.0877745283670683,2.698409971318056,2.9876513546862866,3.8139398680247183,3.4565340941233456,3.8322702837363596,0.9568253665322862,-4.154620645270983,-4.709401226443558,-5.175072473811223,-6.55608255172864,0.04312892628016233,3.284096613932646,3.2698538332266303,5.243479862275876,-4.777616199900453,0.14603370346329012,11.74034893273883,9.100456703828831,15.508463923930039,11.580640681088601,16.864819062854412,4.235967794721647,-0.22666028741396266,3.177135088356678,3.1788141807968495,6.270339664946251,6,36.31961259079903,19.84249117407441,5.915109516148991,23.710401747784925,6.376109765940274,29.281678773204195,29.281678773204195,21.326513593150608,17.25690776672041,1.8624562183799411,2.507400099894556
30238,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,78,241930.219386315,-0.19984030636674324,mid,7.927337249588002,4.924398092519331,3.7660111985358586,0.8238610678170737,2.8809280931119594,-1.6232171240406315,-2.7062393681332995,-25.6599755895815,-34.71038809477849,-5.388619511208894,-16.574356926027313,-1.4880358940694853,32.01840335543808,21.793046735999802,14.478357228136884,8.57214091067312,16.075068796807937,18.54801535520751,11.859492259219273,12.69804589917294,27.753410870922487,18.469940001606883,1.4185641202939252,0.5028183663160753,4.848291962230314,4.345204645527595,15.501017853964807,7,40.110456553755526,21.494919021911716,6.820466184846599,18.795298271696712,5.581737849779087,23.564064801178205,23.564064801178205,31.18931475029036,10.292682926829269,1.7607433217189314,-4.141605064685701
30624,"Athens-Clarke County, GA",Elbert County,394,174326.51342394605,-0.6609416795487896,low,5.796710577508289,9.03833854459485,4.842271597884494,11.903046769737509,0.7473054301759385,6.700321339916444,2.581528153100453,-2.0958138338287418,-5.884216149369226,-5.7230376337854665,-7.162878163969787,0.501843364783435,4.029460471178659,2.2066447358755266,2.2041781709131323,7.087326528205206,4.765057475430604,7.349556158328087,14.875761690697406,14.875889287080705,21.380077615941925,5.228552896049685,6.877063556339761,0.8473803848614156,4.707182040318763,4.803664536657549,6.763204285592485,4,29.211229946524064,10.650672482733551,9.038461538461538,10.592904986355743,8.689839572192513,26.203208556149733,26.203208556149733,23.96632829908393,7.922753156721961,1.0151027482050012,8.125429867447714
31085,"Atlanta-Sandy Springs-Alpharetta, GA",Jasper County,508,244778.5777716846,-0.1804126441681709,mid,,,,,,,,,,,,,,,10.348236375225728,14.547778891320386,10.286911858730056,11.827713283370779,8.028726373361573,19.759549215862794,14.213677778519026,7.788808338631633,7.008050717504736,0.7493202139900056,10.455877304651672,10.317574116977891,5.147320566340327,0,12.413793103448276,7.280080889787664,2.0072992700729926,11.790079079798707,6.436781609195402,22.298850574712645,22.298850574712645,19.338605319913732,9.561466570812366,4.529115744069015,3.5417608020412494
30326,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,305,427623.80113691144,1.0667110508022595,mid,3.4269520586802225,-4.454942416202802,-0.4249876405690743,-0.84739892026133,8.241517172333154,0.7921961298679765,0.797401741942712,-13.786332814389079,-14.025916866162948,-12.52821794570833,-8.750168732775032,7.1305829953203315,19.54345463382478,17.576442594402916,6.078995258218161,4.795143852112444,5.159406787382254,6.008979367738088,-1.6887462776298459,-0.8930145536263706,6.996939591525357,2.8658202994139503,-1.2795842063961733,-0.9273691738113494,1.241964705634584,0.7947989359053442,8.373565206096096,11,66.40883977900552,77.32843137254902,4.576085253095126,13.698952571495822,6.906077348066298,58.39779005524862,58.39779005524862,8.885488996116276,14.287395551371072,2.0007061315758503,-2.694361728886553
31569,"St. Marys, GA",Camden County,320,278375.1467494659,0.04873787161100065,mid,5.7016790985649966,3.380411779697073,3.415405595734534,9.607626970540672,12.618396080917945,16.119065214857585,1.2097265114956035,-7.835157348569651,-6.916774858163095,-2.91094621558016,-8.062586760629326,4.0197910564076365,7.057543257303389,4.967367334417829,6.111857599473097,0.8310484947348901,6.298107057819437,6.8640418433870565,5.554641786537106,14.608704262683332,15.78798081136898,13.122998869969736,9.187417204341685,0.3305067462139594,5.044535516396847,5.628160442551051,6.9348594203973954,4,17.402333840690005,20.718004932858317,1.3581488933601609,9.24692105794468,6.595636732623034,27.346524606798578,27.346524606798578,22.088835534213686,4.901960784313726,3.6014405762304924,4.198876563545407
30217,"Atlanta-Sandy Springs-Alpharetta, GA",Heard County,281,222144.14502171695,-0.33479424017144777,mid,5.875068064213421,5.928031353149081,4.905585863912343,4.020491036437527,-2.2385695569800386,6.534485365262362,1.2148769610793844,-3.930964439002907,-10.599836088548235,2.5407627569036637,-7.545077724366445,8.535118700572284,16.25135927253266,10.46263608005128,9.822627685522942,4.574403104650281,12.416912090524878,5.936076822164549,9.763703481524308,14.016608635466316,14.031881415676697,12.832283471795323,8.611224820814636,0.2780752039774771,5.593240182388908,5.932054087656815,6.853361139153165,4,28.021978021978022,10.234573434932019,4.063604240282685,18.52706672261855,7.197802197802198,27.197802197802197,27.197802197802197,23.12925170068027,7.884972170686456,2.958152958152958,3.167525287157416
